bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
1,13000000,1.30 Cr,Jogeshwari West,SMGK Group,Jogeshwari West,,ready to move,Lower Oshiwara Metro Station|5 minutes,Mother Care Hospital, R Odeon Mall,Mumbai
1,3700000,37 Lac,Virar,Kalash Developers,,535.0,ready to move,Sakinaka Metro Station,,Phoenix Marketcity Mall,Mumbai
2,19500000,1.95 Cr,Malad East,Madhav Reality,,700.0,ready to move,Malad Railway Station (E) Bus Stop,Suvidha,Infiniti Mall,Mumbai
1,10400000,1.04 Cr,Mira Bhayandar,Annapurna Properties,,362.0,ready to move,T.M.T Bus Stop,Sai Krupa Hospital,Star Market,Mumbai
1,6000000,60 Lac,Vasai West,Kaul Builder And  Developer,Kaul Heritage City,480.0,ready to move,,Janseva Hospital,Sahakari Bhandar,Mumbai
1,15100000,1.51 Cr,Fort,Aplite Group,,,ready to move,Chhatrapati Shivaji Maharaj Terminus(CSMT) Bus Stop,Ent Hospital,Crawford market,Mumbai
3,42500000,4.25 Cr,Powai,Supreme Universal,,,ready to move,Kensington Society Bus Stop,Dr L H Hiranandani Hospital,Empire Plaza,Mumbai
2,13500000,1.35 Cr,Dahisar East,V K Associates,Dahisar East is available at the price of ₹1,,ready to move,Dahisar Metro Station|5 minutes,Sukhda Heart and Women Care,Orchid Ozone Mall,Mumbai
2,15500000,1.55 Cr,Kurla East,Ayodhya Constructions Co.,,563.0,ready to move,Kurla Railway Station (Central And Harbour Lines),,,Mumbai
2,14000000,1.40 Cr,Juhu,Vitthal Patel,Juhu is available at the price of ₹1,592.0,ready to move,Juhu Beach Bus Stop,Baratiya Arogy Nidhi,Tulip Arcade Mall,Mumbai
2,16800000,1.68 Cr,Kandivali East,SD Corporation Pvt. Ltd.,,,ready to move,Poisar Metro Station|5 minutes,Apex Hospital,Thakur Mall Kandivali East,Mumbai
2,20500000,2.05 Cr,Kanjurmarg East,Runwal Enterprises,,,ready to move,Bhandup Railway Station,Ankur Hospital,,Mumbai
2,16000000,1.60 Cr,Mulund West,Runwal Group,,629.0,ready to move,Mulund Depot Bus Stop,Padmashree Nursing Home,R-Mall,Mumbai
2,39000000,3.90 Cr,Parel,L&T Realty,,850.0,ready to move,Sewree Naka Bus Stop,P.D. Hinduja Hospital,,Mumbai
